trade_date,open,high,low,close,volume
2024-03-15,295.71,299.44,295.29,298.3,26040280
2024-03-18,299.4,299.98,297.63,298.87,20281860
2024-03-19,298.3,299.4,294.21,295.2,59714940
2024-03-20,295.3,296.88,293.52,295.4,30703230
2024-03-21,295.99,297.3,291.8,295.62,70680800
2024-03-22,295.77,296.79,291.05,292.99,48982100
2024-03-25,294.0,294.93,292.13,293.9,25567820
2024-03-26,294.5,295.82,293.04,294.11,16295560
2024-03-27,294.47,295.11,293.47,295.1,14560090
2024-03-28,295.5,299.3,295.5,299.0,33675160
2024-03-29,299.38,299.5,298.0,298.72,17705950
2024-04-01,300.0,301.65,299.5,300.43,28662870
2024-04-02,300.43,300.99,298.95,300.38,19980460
2024-04-03,300.4,307.13,300.17,306.72,58228980
2024-04-04,306.8,307.77,304.36,304.61,29074900
2024-04-05,304.62,306.5,303.7,306.1,19355990
2024-04-08,306.5,308.6,306.22,307.75,24899610
2024-04-09,308.1,309.35,305.51,306.76,32044440
2024-04-10,306.76,307.14,304.62,306.48,20682180
2024-04-11,306.7,308.0,305.7,306.95,20527000
2024-04-12,307.4,307.87,306.3,307.1,16025300
2024-04-15,307.47,308.39,306.64,307.99,20746510
2024-04-16,308.0,308.65,307.0,308.29,17135850
2024-04-17,308.65,309.74,305.91,306.59,28227330
2024-04-18,306.01,308.29,305.05,307.99,20387560
2024-04-19,308.0,308.38,306.8,307.38,14578320
2024-04-22,308.0,315.0,307.38,314.99,69006740
2024-04-23,315.39,315.79,306.26,307.39,92863630
2024-04-24,307.5,309.79,306.65,307.94,26557490
2024-04-25,307.95,309.07,307.45,308.41,15946760
2024-04-26,308.5,309.9,308.0,309.0,21146360
2024-04-27,309.25,309.99,308.7,308.98,13111060
2024-04-29,309.14,309.6,307.65,308.97,10025690
2024-04-30,309.19,309.49,308.03,308.24,5980690
2024-05-02,308.7,309.19,306.8,307.37,16262520
2024-05-03,307.11,308.29,304.34,307.53,30466990
2024-05-06,308.1,308.1,305.55,306.01,19203550
2024-05-07,306.23,308.87,306.21,308.22,16616810
2024-05-08,308.41,311.83,308.08,311.21,33881400
2024-05-10,311.5,313.5,311.31,313.49,16715650
2024-05-13,314.1,315.7,314.04,314.85,21712460
2024-05-14,315.0,318.41,313.58,318.12,35247320
2024-05-15,318.2,320.16,317.7,319.7,28351820
2024-05-16,320.0,322.91,320.0,322.91,27847220
2024-05-17,322.96,323.5,320.02,323.16,24398590
2024-05-20,324.0,324.85,318.94,321.08,36736790
2024-05-21,320.88,322.23,318.0,320.64,34019460
2024-05-22,320.8,323.1,320.8,322.93,18651840
2024-05-23,322.8,324.0,321.23,323.54,17865490
2024-05-24,323.83,324.48,319.78,321.0,26594700
2024-05-27,321.01,321.95,315.5,317.09,45712960
2024-05-28,317.5,320.9,315.82,318.22,30187790
2024-05-29,318.25,320.4,315.92,320.38,22989260
2024-05-30,320.91,321.55,316.0,316.63,27005390
2024-05-31,316.0,318.49,309.8,313.11,49206450
2024-06-03,313.5,315.5,305.0,310.95,61860770
2024-06-04,310.98,316.5,308.8,316.49,33070240
2024-06-05,316.63,318.28,313.85,314.72,27792110
2024-06-06,314.7,316.45,311.15,313.08,28328920
2024-06-07,313.8,320.64,312.73,319.9,44484260
2024-06-10,320.8,321.98,315.21,317.28,26344630
2024-06-11,317.5,319.84,315.88,317.8,20064950
2024-06-13,305.7,317.82,304.14,317.71,41281520
2024-06-14,317.8,320.7,316.2,319.35,21488970
2024-06-17,320.0,320.45,316.85,317.65,15476190
2024-06-18,317.65,318.0,313.02,314.34,22024090
2024-06-19,314.38,314.78,307.51,310.7,42183660
2024-06-20,310.7,314.72,306.02,314.15,72789950
2024-06-21,315.0,316.0,312.6,314.14,29116600
2024-06-24,314.7,319.0,314.14,317.25,29607080
2024-06-25,317.5,319.89,316.28,319.8,25978180
2024-06-26,320.1,324.56,319.8,324.55,42491110
2024-06-27,324.8,327.83,322.63,327.16,46771370
2024-06-28,327.87,329.3,325.8,327.15,40451800
2024-07-01,327.64,329.0,326.25,327.1,31710510
2024-07-02,327.35,328.87,326.82,328.37,21155650
2024-07-03,328.58,330.45,327.0,328.2,32156700
2024-07-04,328.39,329.57,323.81,324.66,40766110
2024-07-05,324.71,327.0,321.01,325.0,40433010
2024-07-08,325.76,327.44,323.74,324.07,27756900
2024-07-09,324.3,325.33,317.5,319.99,54199810
2024-07-10,319.0,320.3,314.3,316.68,88512550
2024-07-11,289.96,296.98,285.22,295.87,168030600
2024-07-12,296.0,297.48,290.97,292.21,49999170
2024-07-15,293.0,293.86,283.5,284.38,58737560
2024-07-16,284.49,285.69,276.7,285.25,82870860
2024-07-17,285.84,289.96,283.23,284.68,42824670
2024-07-18,284.68,289.99,282.73,289.83,34090360
2024-07-19,290.67,292.58,289.2,289.9,31022060
